Name,Role,Tier,Score,Trend,Win%,Role%,Pick%,Ban%,KDA
Aatrox,TOP,God / S+,87.01,+2.37,52.00%,93.22%,21.88%,32.96%,2.12
Ahri,MID,Strong / S,57.30,-4.49,51.54%,98.48%,7.33%,2.27%,2.54
Akali,MID,Strong / S,57.70,+0.69,48.07%,73.73%,8.10%,10.24%,2.56
Akali,TOP,Fair / B,47.84,+10.61,48.78%,25.95%,3.05%,10.24%,2.28
Akshan,MID,Strong / S,59.47,+12.85,64.71%,55.28%,3.01%,5.33%,2.74
Akshan,TOP,Good / A,52.17,+0.59,55.77%,42.28%,1.42%,5.33%,2.64
Alistar,SUPPORT,Weak / C,40.47,-8.63,50.51%,99.00%,3.69%,0.56%,2.64
Amumu,SUPPORT,Strong / S,59.36,+10.56,50.84%,92.52%,9.17%,8.34%,2.18
Anivia,MID,Strong / S,60.36,+9.62,63.83%,88.68%,2.41%,1.97%,3.83
Annie,MID,Weak / C,41.78,-3.44,45.16%,86.11%,1.62%,0.42%,2.98
Aphelios,ADC,Fair / B,43.68,+2.62,48.37%,99.46%,7.49%,0.45%,2.34
Ashe,ADC,Good / A,54.67,+4.32,50.53%,74.93%,10.79%,3.07%,2.59
Ashe,SUPPORT,Bad / D,34.51,-11.91,44.57%,24.53%,4.37%,3.07%,2.34
Aurelion SolAurelion Sol,,Not Placed,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00
Azir,MID,Fair / B,44.99,-4.20,41.73%,92.70%,5.37%,3.19%,2.27
Bard,SUPPORT,Good / A,52.21,-1.65,53.85%,99.05%,4.77%,3.04%,3.68
Bel'VethBel'Veth,JUNGLE,Strong / S,59.76,+1.15,48.95%,98.28%,7.95%,22.52%,2.84
Blitzcrank,SUPPORT,Weak / C,42.65,-2.41,47.62%,99.06%,5.38%,5.46%,2.49
Brand,SUPPORT,Weak / C,39.23,+9.49,56.25%,56.14%,1.41%,0.63%,2.33
Braum,SUPPORT,Fair / B,43.19,-9.56,55.00%,100.00%,2.63%,0.25%,2.79
Caitlyn,ADC,God / S+,70.76,+7.93,48.04%,98.41%,17.57%,14.45%,2.32
Camille,TOP,Good / A,56.01,-5.34,51.54%,96.60%,8.30%,3.23%,2.06
Cassiopeia,MID,Strong / S,60.86,+17.37,67.57%,74.00%,2.44%,1.61%,2.94
Cho'GathCho'Gath,MID,Strong / S,56.99,+8.91,65.22%,38.33%,0.49%,0.21%,3.65
Cho'GathCho'Gath,TOP,Fair / B,45.16,+7.87,50.00%,43.33%,1.12%,0.21%,2.01
Corki,MID,Fair / B,44.30,+4.30,51.72%,93.55%,1.02%,0.08%,2.47
Darius,TOP,Strong / S,58.31,-2.83,53.15%,95.97%,7.59%,20.10%,2.00
Diana,JUNGLE,Good / A,56.01,+5.04,52.08%,84.21%,7.36%,4.64%,2.64
Diana,MID,Weak / C,39.15,-5.80,45.71%,12.28%,1.07%,4.64%,2.24
Dr. MundoDr. Mundo,TOP,Fair / B,45.34,+3.91,51.43%,89.74%,1.33%,0.30%,1.58
