Name,Role,Tier,Score,Trend,Win%,Role%,Pick%,Ban%,KDA
Aatrox,TOP,God / S+,88.60,+3.47,49.24%,92.44%,11.25%,20.22%,1.88
Ahri,MID,Good / A,56.64,-2.54,48.76%,92.65%,6.68%,3.62%,2.31
Akali,MID,Strong / S,67.01,-1.62,48.92%,75.93%,8.86%,16.74%,2.30
Akali,TOP,Fair / B,40.80,-1.80,46.84%,22.89%,2.70%,16.74%,2.00
Akshan,MID,Fair / B,44.95,-2.42,49.44%,68.96%,2.43%,4.46%,2.06
Akshan,TOP,Bad / D,30.80,-9.32,47.10%,18.21%,0.70%,4.46%,1.83
Akshan,ADC,Bad / D,28.68,-5.09,47.48%,10.83%,0.35%,4.46%,2.08
Alistar,SUPPORT,Weak / C,40.01,-1.68,48.17%,94.35%,2.53%,0.60%,2.28
Amumu,JUNGLE,Strong / S,62.56,+2.43,53.36%,49.99%,4.08%,5.96%,2.63
Amumu,SUPPORT,Good / A,57.68,+1.25,52.49%,47.84%,4.26%,5.96%,2.09
Anivia,MID,Good / A,48.87,-1.62,50.05%,75.06%,2.11%,2.16%,2.48
Anivia,SUPPORT,Bad / D,30.80,+2.98,47.29%,17.92%,0.44%,2.16%,2.18
Annie,MID,Fair / B,46.16,-0.48,49.95%,78.32%,1.94%,0.71%,2.23
Annie,SUPPORT,Bad / D,15.29,-15.40,42.97%,16.45%,0.39%,0.71%,1.79
Aphelios,ADC,Bad / D,30.51,-1.87,45.87%,95.57%,4.85%,0.80%,1.92
Ashe,ADC,Strong / S,58.83,+9.22,50.53%,67.85%,10.29%,4.10%,2.34
Ashe,SUPPORT,Good / A,48.94,-2.49,49.18%,28.34%,4.47%,4.10%,2.25
Aurelion SolAurelion Sol,MID,Weak / C,36.85,+3.67,48.27%,84.31%,0.58%,0.29%,2.13
Azir,MID,Bad / D,29.29,+2.93,44.15%,89.85%,3.02%,0.77%,1.85
Bard,SUPPORT,Weak / C,39.80,-0.07,47.66%,93.80%,2.30%,0.40%,2.62
Bel'VethBel'Veth,JUNGLE,God / S+,72.37,+6.15,53.10%,95.79%,6.83%,20.73%,2.20
Blitzcrank,SUPPORT,Strong / S,62.59,+1.88,50.12%,96.34%,7.02%,15.43%,2.31
Brand,SUPPORT,Good / A,58.38,-1.19,52.16%,75.55%,5.10%,7.68%,1.89
Brand,MID,Good / A,49.40,+0.97,52.13%,17.22%,1.16%,7.68%,2.06
Braum,SUPPORT,Fair / B,40.58,+2.54,48.70%,95.52%,1.89%,0.32%,2.42
Caitlyn,ADC,God / S+,70.74,+5.86,49.29%,95.52%,17.90%,11.92%,2.18
Camille,TOP,Fair / B,46.27,-3.97,48.18%,93.16%,3.70%,2.02%,1.90
Cassiopeia,MID,Fair / B,46.24,+2.25,50.49%,81.38%,1.84%,1.64%,2.06
Cho'GathCho'Gath,TOP,Good / A,51.15,+3.31,50.93%,70.21%,2.20%,0.96%,2.10
Cho'GathCho'Gath,MID,Fair / B,42.27,-1.41,50.22%,12.77%,0.42%,0.96%,2.16
Corki,MID,Weak / C,33.98,+2.55,47.13%,87.76%,1.09%,0.24%,2.02
Darius,TOP,God / S+,86.48,-0.25,48.95%,91.97%,10.23%,27.47%,1.79
Diana,JUNGLE,God / S+,67.21,+3.45,51.93%,79.36%,7.19%,7.09%,2.37
Diana,MID,Good / A,49.66,-0.90,51.54%,18.76%,1.66%,7.09%,2.14
Dr. MundoDr. Mundo,TOP,Strong / S,59.86,+0.65,52.52%,81.54%,2.79%,2.12%,2.23
Dr. MundoDr. Mundo,JUNGLE,Fair / B,44.99,999NEW,51.73%,10.61%,0.36%,2.12%,2.65
Draven,ADC,Fair / B,46.85,+0.93,48.78%,94.19%,6.68%,19.39%,2.07
Ekko,JUNGLE,Good / A,50.54,+1.05,49.44%,60.14%,4.40%,2.46%,2.56
Ekko,MID,Fair / B,46.57,+0.81,49.70%,36.75%,2.56%,2.46%,2.14
Elise,JUNGLE,Weak / C,36.37,-1.09,47.71%,91.02%,2.00%,1.34%,2.44
Evelynn,JUNGLE,Fair / B,41.58,-0.75,47.42%,97.39%,3.47%,2.48%,2.60
Ezreal,ADC,Strong / S,58.70,+0.25,48.08%,92.45%,14.16%,3.24%,2.40
Fiddlesticks,JUNGLE,Good / A,55.64,+2.57,51.09%,86.93%,4.32%,3.61%,2.57
Fiora,TOP,Good / A,57.19,-0.06,49.19%,96.62%,5.47%,11.00%,1.75
Fizz,MID,Good / A,50.46,+2.05,49.79%,94.94%,3.37%,4.82%,2.30
Galio,MID,Good / A,51.60,+0.87,51.16%,72.72%,1.99%,0.39%,2.47
Galio,SUPPORT,Weak / C,35.50,+2.88,48.76%,22.06%,0.54%,0.39%,2.18
Gangplank,TOP,Fair / B,45.88,-0.27,47.08%,68.58%,4.40%,5.05%,1.89
Gangplank,MID,Weak / C,37.19,-0.64,47.41%,29.34%,1.82%,5.05%,2.04
Garen,TOP,God / S+,68.10,-3.07,51.07%,85.62%,6.50%,2.99%,2.06
Gnar,TOP,Fair / B,40.58,-0.19,47.65%,94.32%,2.88%,0.78%,1.82
Gragas,MID,Fair / B,43.52,+2.56,50.16%,19.82%,0.62%,0.36%,2.28
Gragas,JUNGLE,Bad / D,32.37,-2.35,47.55%,26.78%,0.79%,0.36%,2.50
Gragas,TOP,Bad / D,30.91,+1.73,46.21%,40.51%,1.33%,0.36%,1.92
Gragas,SUPPORT,Bad / D,24.87,+1.03,45.75%,11.91%,0.34%,0.36%,2.01
Graves,JUNGLE,Good / A,54.70,+4.20,48.76%,84.11%,6.54%,3.56%,2.41
Gwen,TOP,Weak / C,33.84,-0.94,46.65%,85.61%,2.34%,1.10%,1.66
Hecarim,JUNGLE,Good / A,57.62,-18.25,47.65%,97.99%,6.99%,17.15%,2.49
Heimerdinger,MID,Good / A,55.14,-1.37,53.48%,54.60%,2.16%,3.94%,1.95
Heimerdinger,TOP,Fair / B,46.59,+1.78,52.08%,22.60%,0.91%,3.94%,1.70
Heimerdinger,SUPPORT,Fair / B,46.59,+2.39,52.89%,13.33%,0.56%,3.94%,1.92
Illaoi,TOP,Strong / S,60.84,+2.54,52.27%,92.55%,4.48%,10.01%,1.52
Irelia,MID,Good / A,54.51,+0.60,50.71%,50.59%,4.47%,15.25%,1.86
Irelia,TOP,Good / A,51.76,+0.31,48.99%,47.57%,4.37%,15.25%,1.64
Ivern,JUNGLE,Weak / C,35.21,+1.96,47.63%,74.19%,0.84%,0.49%,2.84
Ivern,SUPPORT,Bad / D,27.55,+3.61,46.11%,14.83%,0.15%,0.49%,2.38
Janna,SUPPORT,Strong / S,62.43,+1.24,51.48%,98.18%,5.38%,1.57%,2.97
Jarvan IVJarvan IV,JUNGLE,Good / A,49.80,+0.37,49.81%,86.47%,2.85%,0.30%,3.03
Jax,TOP,Good / A,58.00,+1.17,50.33%,74.07%,5.28%,5.69%,1.67
Jax,JUNGLE,Weak / C,39.97,-2.28,50.22%,22.00%,1.44%,5.69%,2.09
Jayce,MID,Fair / B,43.66,-0.61,50.51%,22.91%,0.55%,0.41%,2.18
Jayce,TOP,Bad / D,32.80,+1.98,46.62%,72.76%,1.88%,0.41%,1.75
Jhin,ADC,God / S+,73.55,+4.00,50.88%,95.77%,15.23%,4.83%,2.85
Jinx,ADC,Fair / B,46.51,+0.54,48.60%,97.71%,8.04%,1.00%,2.14
Kai'SaKai'Sa,ADC,God / S+,70.21,+6.95,50.03%,95.89%,17.17%,3.39%,2.39
Kalista,ADC,Bad / D,31.17,-3.51,46.67%,89.72%,3.11%,1.54%,2.08
Karma,SUPPORT,Good / A,50.01,+0.34,48.50%,87.67%,5.09%,1.10%,2.54
Karthus,ADC,Fair / B,45.30,-1.47,52.39%,13.38%,0.38%,0.85%,2.25
Karthus,MID,Fair / B,41.65,-0.73,50.01%,13.52%,0.34%,0.85%,2.19
Karthus,JUNGLE,Weak / C,37.85,-2.15,48.64%,62.00%,1.64%,0.85%,2.41
Kassadin,MID,Fair / B,44.09,+0.70,48.28%,95.96%,2.78%,3.84%,2.27
Katarina,MID,Strong / S,63.96,-1.97,48.70%,95.47%,9.02%,11.07%,2.16
Kayle,TOP,Good / A,53.27,-1.30,50.44%,83.31%,3.86%,1.41%,1.80
Kayle,MID,Fair / B,47.19,-3.24,51.78%,12.27%,0.59%,1.41%,2.14
Kayn,JUNGLE,God / S+,81.13,-9.59,49.33%,96.47%,12.47%,16.24%,2.24
Kennen,MID,Fair / B,42.77,-2.76,50.23%,17.33%,0.34%,0.42%,2.25
Kennen,TOP,Weak / C,34.84,-1.94,47.17%,75.94%,1.53%,0.42%,1.93
Kha'ZixKha'Zix,JUNGLE,Fair / B,47.16,+0.52,48.03%,97.99%,5.28%,2.75%,2.28
Kindred,JUNGLE,Fair / B,40.51,+0.10,47.68%,92.48%,4.20%,2.46%,2.01
Kled,TOP,Fair / B,45.63,+1.14,49.72%,87.80%,1.62%,0.97%,2.17
Kog'MawKog'Maw,ADC,Fair / B,42.74,-2.37,50.78%,88.49%,2.12%,0.59%,2.17
LeBlanc,MID,Fair / B,45.03,-1.03,47.06%,91.69%,3.58%,4.24%,2.57
Lee SinLee Sin,JUNGLE,Good / A,55.64,+10.40,45.38%,92.37%,9.83%,5.20%,2.39
Leona,SUPPORT,Strong / S,58.88,-0.17,50.38%,97.52%,6.33%,6.73%,2.29
Lillia,JUNGLE,Good / A,54.83,+0.08,51.14%,69.93%,4.11%,2.91%,2.55
Lillia,TOP,Good / A,53.85,-2.22,52.70%,24.49%,1.32%,2.91%,2.12
Lissandra,MID,Weak / C,39.95,-1.36,47.75%,91.05%,2.07%,0.76%,2.21
Lucian,ADC,Fair / B,42.25,+0.02,47.97%,88.81%,6.32%,1.94%,2.22
Lulu,SUPPORT,Strong / S,63.04,-6.63,48.52%,96.33%,8.06%,11.52%,2.77
Lux,SUPPORT,God / S+,89.97,-1.84,51.40%,70.02%,13.78%,13.35%,2.49
Lux,MID,Strong / S,65.36,-1.02,51.22%,27.03%,5.40%,13.35%,2.75
Malphite,TOP,Good / A,55.44,+1.75,50.65%,60.22%,2.84%,1.88%,2.40
Malphite,MID,Fair / B,43.58,-1.93,49.78%,13.44%,0.65%,1.88%,2.42
Malphite,SUPPORT,Bad / D,32.03,+0.63,47.41%,20.10%,0.89%,1.88%,2.11
Malzahar,MID,Good / A,54.75,-1.85,51.53%,89.39%,3.39%,5.01%,2.18
Maokai,TOP,Strong / S,59.86,-1.89,51.41%,39.58%,3.43%,2.39%,2.36
Maokai,JUNGLE,Good / A,55.69,+4.25,52.76%,20.40%,1.71%,2.39%,3.08
Maokai,SUPPORT,Good / A,52.86,+2.09,51.92%,38.10%,2.88%,2.39%,2.34
