Name,Role,Tier,Score,Trend,Win%,Role%,Pick%,Ban%,KDA
Aatrox,TOP,God / S+,88.51,-2.15,50.44%,94.17%,16.75%,32.13%,2.00
Ahri,MID,Strong / S,62.55,-4.06,50.11%,96.24%,7.02%,2.97%,2.70
Akali,MID,Strong / S,63.10,-1.57,48.06%,73.31%,7.48%,12.82%,2.43
Akali,TOP,Fair / B,45.99,+0.23,47.35%,26.28%,2.65%,12.82%,2.04
Akshan,MID,Good / A,49.62,-2.58,51.51%,63.94%,2.81%,5.54%,2.32
Akshan,TOP,Fair / B,46.71,+0.31,50.67%,31.13%,1.32%,5.54%,2.06
Alistar,SUPPORT,Weak / C,42.67,-4.37,49.37%,96.95%,3.26%,0.61%,2.61
Amumu,SUPPORT,Strong / S,57.57,+3.37,51.73%,79.38%,6.64%,8.05%,2.14
Amumu,JUNGLE,Weak / C,41.96,-1.61,51.54%,19.29%,2.21%,8.05%,2.71
Anivia,MID,Good / A,49.74,-4.22,51.26%,80.91%,2.56%,2.79%,2.72
Anivia,SUPPORT,Bad / D,32.77,-0.52,50.10%,12.52%,0.33%,2.91%,2.29
Annie,MID,Fair / B,43.38,-3.14,49.93%,78.80%,1.53%,0.36%,2.40
Annie,SUPPORT,Bad / D,27.04,-2.69,46.87%,11.09%,0.19%,0.36%,2.18
Aphelios,ADC,Weak / C,38.25,+0.90,47.00%,98.67%,6.01%,0.49%,2.09
Ashe,ADC,Strong / S,57.11,+10.19,51.46%,64.26%,9.53%,3.31%,2.54
Ashe,SUPPORT,Good / A,49.17,-0.95,49.84%,33.94%,4.90%,3.31%,2.56
Aurelion SolAurelion Sol,MID,Weak / C,41.61,-0.17,50.17%,88.30%,0.59%,0.25%,2.64
Azir,MID,Fair / B,46.16,-1.67,45.95%,91.74%,4.20%,1.85%,2.22
Bard,SUPPORT,Good / A,50.96,-0.57,51.05%,98.40%,4.37%,1.04%,3.15
Bel'VethBel'Veth,JUNGLE,God / S+,69.02,+12.91,52.89%,95.67%,7.05%,24.30%,2.69
Blitzcrank,SUPPORT,Strong / S,57.38,+3.90,51.64%,98.40%,6.15%,8.31%,2.57
Brand,SUPPORT,Bad / D,36.86,-0.53,49.08%,71.65%,2.52%,1.71%,1.81
Brand,ADC,Bad / D,30.27,999NEW,49.83%,11.86%,0.33%,1.71%,2.33
Brand,MID,Bad / D,29.09,-9.67,42.66%,14.23%,0.55%,1.71%,1.91
Braum,SUPPORT,Weak / C,40.28,+1.81,49.70%,98.67%,2.26%,0.26%,2.75
Caitlyn,ADC,God / S+,83.68,+17.30,51.12%,98.88%,18.77%,11.81%,2.43
Camille,TOP,Strong / S,56.64,-3.98,50.94%,94.10%,6.55%,3.36%,2.04
Cassiopeia,MID,Good / A,50.79,+1.73,53.41%,76.77%,2.60%,1.84%,2.25
Cassiopeia,TOP,Weak / C,40.90,-5.02,47.69%,14.60%,0.48%,1.84%,1.82
Cho'GathCho'Gath,TOP,Fair / B,46.91,+0.65,50.57%,61.30%,1.47%,0.43%,2.10
Cho'GathCho'Gath,MID,Weak / C,41.02,+2.36,50.61%,27.29%,0.44%,0.43%,2.45
Corki,MID,Weak / C,39.76,+4.00,48.13%,93.32%,1.22%,0.14%,2.31
Darius,TOP,God / S+,66.78,-4.74,50.55%,94.68%,9.45%,26.65%,1.90
Diana,JUNGLE,Strong / S,62.05,+7.69,51.72%,83.18%,7.28%,8.25%,2.67
Diana,MID,Good / A,50.86,+7.57,55.86%,15.56%,1.38%,8.25%,2.39
Dr. MundoDr. Mundo,TOP,Good / A,49.54,+1.85,52.25%,77.65%,1.79%,0.65%,2.16
Dr. MundoDr. Mundo,JUNGLE,Bad / D,31.87,999NEW,49.71%,10.07%,0.21%,0.72%,2.89
Draven,ADC,Strong / S,65.25,+8.08,51.79%,96.43%,8.98%,33.27%,2.23
